ID	Completeness	Contamination	Genome_Size
genome_01	99.9	0.0	6457273
genome_02	99.98	41.25	9341651
genome_03	99.98	0.03	7458905
genome_04	99.94	0.05	7412736
genome_05	99.99	0.1	7779861
genome_06	99.98	0.12	7400871
genome_07	99.92	0.22	7515454
genome_08	95.59	0.03	6027792
genome_09	96.84	0.0	5889111
genome_10	94.79	0.04	6012811
